user_id,playlist_id,position,artist_name,track_name
3615224,1426838,1,"Justice","Genesis"
3615224,1426838,2,"Red Hot Chili Peppers","Dani California"
3615224,1426838,3,"Red Hot Chili Peppers","Under the Bridge"
3615224,1426838,4,"Tryo","La Main Verte"
3615224,1426838,5,"La Rue Kétanou","Mohammed"
3615224,1426838,6,"Metallica","Nothing Else Matters"
3615224,1426838,7,"System of a Down","Roulette"
35619769,8078361,1,"Muse","Hysteria"
35619769,8078361,2,"Robots in Disguise","Turn It Up"
35619769,8078361,3,"Robots in Disguise","Voodoo"
35619769,8078361,4,"Muse","Time Is Running Out"
35619769,8078361,5,"Placebo","Julien"
35619769,8078361,6,"Placebo","Infra-Red"
10021906,2323317,1,"Kaiser Chiefs","Ruby"
10021906,2323317,2,"Radiohead","Just"
10021906,2323317,3,"Radiohead","Exit Music (For A Film)"
10021906,2323317,4,"Radiohead","Let Down"
10021906,2323317,5,"Radiohead","Fitter Happier"
10021906,2323317,6,"Radiohead","Electioneering"
10021906,2323317,7,"Radiohead","Kid A"
10021906,2323317,8,"Radiohead","Karma Police"
10021906,2323317,9,"Radiohead","Climbing Up The Walls"
10021906,2323317,10,"Hoobastank","The Reason"
14573460,4588210,1,"Duffy","Mercy"
14573460,4588210,2,"Duffy","Rockferry"
14573460,4588210,3,"Oasis","Don't Look Back In Anger"
14573460,4588210,4,"Coldplay","Life in Technicolor"
14573460,4588210,5,"Coldplay","Viva La Vida"
14573460,4588210,6,"Coldplay","Violet Hill"
14573460,4588210,7,"Flunk","Blue Monday"
14573460,4588210,8,"KoЯn","Coming Undone (atolyth remix)"
6090278,361073,1,"Kutless","All the words"
6090278,361073,2,"Snow Patrol","Chasing Cars"
6090278,361073,3,"Snow Patrol","Open Your Eyes"
6090278,361073,4,"Snow Patrol","Run"
6090278,361073,5,"The Killers","Read My Mind"
6090278,361073,6,"The Killers","Mr. Brightside"
6090278,361073,7,"The Killers","Bones"
6090278,361073,8,"The Killers","Smile Like You Mean It"
7680257,1078480,1,"Duman","Geçmiş Olsun"
7680257,1078480,2,"Cilekes","Yetmiyor"
7680257,1078480,3,"Muse","Hysteria"
7680257,1078480,4,"Muse","Starlight"
7680257,1078480,5,"System of a Down","Chop Suey"
7680257,1078480,6,"System of a Down","Hypnotize"
7680257,1078480,7,"Red Hot Chili Peppers","Can't Stop"
7680257,1078480,8,"Red Hot Chili Peppers","Otherside"
7680257,1078480,9,"Red Hot Chili Peppers","Californication"
7680257,1078480,10,"Aerosmith","Dream On"
43066124,10144344,1,"Bon Iver","Skinny Love"
43066124,10144344,2,"Bon Iver","For Emma"
43066124,10144344,3,"Foals","Big Big Love (Fig. 2)"
43066124,10144344,4,"Ben Harper","Waiting on an Angel"
43066124,10144344,5,"David Bowie","Rebel Rebel"
43066124,10144344,6,"WU LYF","Heavy Pop"
43066124,10144344,7,"Radiohead","Creep"
43066124,10144344,8,"Radiohead","Paranoid Android"
43066124,10144344,9,"The Smiths","This Charming Man"
43066124,10144344,10,"The Smiths","How Soon Is Now?"
6344441,499675,1,"Radiohead","Karma Police"
6344441,499675,2,"Peter Doherty","Last Of The English Roses"
6344441,499675,3,"Peter Doherty","1939 Returning"
6344441,499675,4,"Muse","Knights of Cydonia"
6344441,499675,5,"Muse","Supermassive Black Hole"
6344441,499675,6,"Queen","Bohemian Rhapsody"
6344441,499675,7,"Gigi D'Agostino","L'Amour Toujours"
49315748,10476148,1,"Enigma","Beyond the Invisible"
49315748,10476148,2,"Eagles","Hotel California"
49315748,10476148,3,"Nirvana","Smells Like Teen Spirit"
49315748,10476148,4,"Red Hot Chili Peppers","Californication"
49315748,10476148,5,"System of a Down","Lonely Day"
49315748,10476148,6,"Snow Patrol","Chasing Cars"
49315748,10476148,7,"Muse","Resistance"
49315748,10476148,8,"Nightwish","Sleeping Sun"
49315748,10476148,9,"Aerosmith","I Don't Want to Miss a Thing"
49315748,10476148,10,"fun.","We Are Young (feat. Janelle Monae)"
7965156,4424528,1,"Coldplay","42"
7965156,4424528,2,"Muse","Starlight"
7965156,4424528,3,"Coldplay","The Scientist"
7965156,4424528,4,"Lars Winnerbäck","För dig"
7965156,4424528,5,"Bob Dylan","Blowin' in the Wind"
7965156,4424528,6,"The Sounds","Tony The Beat"
7965156,4424528,7,"Mustasch","I Hunt Alone"
7965156,4424528,8,"Green Day","When I Come Around"
7965156,4424528,9,"Muse","Knights of Cydonia"
7965156,4424528,10,"The Cure","Lullaby"
47338314,10239682,1,"Oasis","Wonderwall"
47338314,10239682,2,"Foo Fighters","Everlong"
47338314,10239682,3,"Audioslave","Like A Stone"
47338314,10239682,4,"Puddle Of Mudd","She Hates Me"
47338314,10239682,5,"Mogwai","Tracy"
47338314,10239682,6,"Them Crooked Vultures","Bandoliers"
13145206,3632317,1,"Faith No More","Epic"
13145206,3632317,2,"Sixpence None The Richer","Kiss Me"
13145206,3632317,3,"Paramore","Misery Business"
13145206,3632317,4,"Blink-182","Feeling This"
13145206,3632317,5,"Yellowcard","Only One"
13145206,3632317,6,"Coldplay","Viva La Vida"
5603791,8601648,1,"Led Zeppelin","Stairway To Heaven"
5603791,8601648,2,"Led Zeppelin","Kashmir"
5603791,8601648,3,"Guns N' Roses","Sweet Child O' Mine"
5603791,8601648,4,"Guns N' Roses","Paradise City"
5603791,8601648,5,"Guns N' Roses","November Rain"
5603791,8601648,6,"Guns N' Roses","Knockin' On Heaven's Door"
5603791,8601648,7,"Guns N' Roses","Don't Cry"
5603791,8601648,8,"AC/DC","Highway to Hell"
5603791,8601648,9,"Eagles","Hotel California"
11455466,3364320,1,"Snow Patrol","Run"
11455466,3364320,2,"Take That","Rule The World (Radio Edit)"
11455466,3364320,3,"Keane","Somewhere Only We Know"
11455466,3364320,4,"Athlete","Half Light"
11455466,3364320,5,"Coldplay","Viva La Vida"
11455466,3364320,6,"Sunrise Avenue","Fairytale Gone Bad"
2804146,193204,1,"Thievery Corporation","Lebanese Blonde"
2804146,193204,2,"Days of the New","Die Born"
2804146,193204,3,"Oasis","Wonderwall"
2804146,193204,4,"Snow Patrol","Run"
2804146,193204,5,"Interstellar","Rain Snow Sleet Hail"
2804146,193204,6,"Archive","Fuck U"
17258716,6053892,1,"Coldplay","The Scientist"
17258716,6053892,2,"Denison Witmer","Castle and Cathedral"
17258716,6053892,3,"Coldplay","Clocks"
17258716,6053892,4,"The Cranberries","Free To Decide"
17258716,6053892,5,"The Killers","All These Things That I've Done"
17258716,6053892,6,"Coldplay","Fix You"
10760467,2691659,1,"Pogodno","U[miech si"
10760467,2691659,2,"Nirvana","Smells Like Teen Spirit"
10760467,2691659,3,"Fisz Emade jako Tworzywo Sztuczne","Imitacje"
10760467,2691659,4,"Fisz Emade jako Tworzywo Sztuczne","Jestescie Gotowi?"
10760467,2691659,5,"Joy Division","Love Will Tear Us Apart"
10760467,2691659,6,"Joy Division","She's Lost Control"
10760467,2691659,7,"Joy Division","Shadowplay"
10006737,3378475,1,"A Fine Frenzy","Almost Lover"
10006737,3378475,2,"Leona Lewis","Bleeding Love"
10006737,3378475,3,"OneRepublic","Apologize"
10006737,3378475,4,"Coldplay","Clocks"
10006737,3378475,5,"The Killers","Mr. Brightside"
10006737,3378475,6,"Muse","Sunburn"
10006737,3378475,7,"SMiLE.dk","Butterfly (Full)"
10006737,3378475,8,"Coldplay","Yellow"
5456615,93274,1,"t.A.T.u.","Fly on the Wall"
5456615,93274,2,"Lady Gaga","Paparazzi"
5456615,93274,3,"Coldplay","Viva La Vida"
5456615,93274,4,"MGMT","Kids"
5456615,93274,5,"The Weepies","Antarctica"
5456615,93274,6,"Missy Higgins","Steer"
10682666,2915915,1,"Andrew Bird","Fiery Crash"
10682666,2915915,2,"MGMT","Time To Pretend"
10682666,2915915,3,"Sigur Rós","Hoppípolla"
10682666,2915915,4,"Broken Social Scene","Major Label Debut"
10682666,2915915,5,"Stars","Your Ex-Lover Is Dead"
10682666,2915915,6,"Built To Spill","Lie For A Lie"
2188450,130505,1,"Björk","Pabbi Minn"
2188450,130505,2,"Anti-Flag","Turncoat"
2188450,130505,3,"The Smiths","How Soon Is Now?"
2188450,130505,4,"Sneaker Pimps","6 Underground (Two Lone Swordsmen instrumental mix)"
2188450,130505,5,"Radiohead","Paranoid Android"
2188450,130505,6,"Radiohead","Karma Police"
10152492,2405529,1,"Coldplay","Clocks"
10152492,2405529,2,"Coldplay","Yellow"
10152492,2405529,3,"The Killers","Read My Mind"
10152492,2405529,4,"LCD Soundsystem","Us v Them"
10152492,2405529,5,"Morrissey","First of the Gang to Die"
10152492,2405529,6,"The Killers","Somebody Told Me"
10152492,2405529,7,"Kaiser Chiefs","I Predict A Riot"
10152492,2405529,8,"Pulp","Disco 2000"
10152492,2405529,9,"Emilie Simon","Swimming"
21913413,5780258,1,"Incubus","I Miss You"
21913413,5780258,2,"Coldplay","Viva La Vida"
21913413,5780258,3,"Coldplay","The Scientist"
21913413,5780258,4,"Coldplay","Fix You"
21913413,5780258,5,"Muse","Uprising"
21913413,5780258,6,"Muse","Resistance"
21913413,5780258,7,"Muse","Undisclosed Desires"
21913413,5780258,8,"Hellogoodbye","When We First Met"
21913413,5780258,9,"GoodBoyBadminton","TAXES"
11861804,3176475,1,"Queens of the Stone Age","Go With The Flow"
11861804,3176475,2,"Kaizers Orchestra","Maestro"
11861804,3176475,3,"Wolfmother","Woman"
11861804,3176475,4,"Kaizers Orchestra","Kontroll på kontinentet"
11861804,3176475,5,"Incubus","Dig"
11861804,3176475,6,"The Killers","All These Things That I've Done"
11861804,3176475,7,"Queens of the Stone Age","No One Knows"
11861804,3176475,8,"The Killers","Somebody Told Me"
11861804,3176475,9,"The Kooks","Naive"
11861804,3176475,10,"Danko Jones","Code Of The Road"
14162684,3931947,1,"The Beatles","Let It Be"
14162684,3931947,2,"The Who","Baba O'Riley"
14162684,3931947,3,"Muse","Supermassive Black Hole"
14162684,3931947,4,"Linkin Park","Leave Out All the Rest"
14162684,3931947,5,"Linkin Park","In the End"
14162684,3931947,6,"Linkin Park","One Step Closer"
1025823,279275,1,"Death Cab for Cutie","Soul Meets Body"
1025823,279275,2,"Death Cab for Cutie","I Will Follow You Into The Dark"
1025823,279275,3,"Death Cab for Cutie","What Sarah Said"
1025823,279275,4,"Bee Gees","Nights On Broadway"
1025823,279275,5,"Franz Ferdinand","Take Me Out"
1025823,279275,6,"Franz Ferdinand","This Fire"
4645509,2089075,1,"Dolores O'Riordan","Ordinary Day"
4645509,2089075,2,"Franz Ferdinand","Take Me Out"
4645509,2089075,3,"Audioslave","Be Yourself"
4645509,2089075,4,"Muse","Time Is Running Out"
4645509,2089075,5,"Massive Attack & Portishead","Massive Attack & Portishead - Teardrop"
4645509,2089075,6,"Metallica","Turn the Page"
4645509,2089075,7,"Staind","So Far Away"
22394709,5884071,1,"Kings of Leon","Closer"
22394709,5884071,2,"Kings of Leon","Sex On Fire"
22394709,5884071,3,"Kings of Leon","Use Somebody"
22394709,5884071,4,"Alter Bridge","Burn It Down"
